Sample, MC29, MC41, MC49, MC46, MC65, MC97, MC4, MC18, MC114
MCAV_140,"01,04","02,07","04,14","03,04","03,04","04,08","05,05","04,04","08,10"
MCAV_141,"05,06","03,05","02,14","03,04","03,04","05,06","06,20","04,04","05,10"
MCAV_142,"06,07","05,08","04,14","03,03","03,04","05,06","21,27","04,08","05,11"
MCAV_143,"04,05","02,05","02,05","03,03","03,03","03,03","06,32","04,04","08,12"
MCAV_144,"03,06","06,06","01,02","03,03","03,03","03,04","40,49","03,03","09,11"
MCAV_145,"03,03","05,07","03,14","03,04","03,03","04,05","44,51","99,99","05,05"
MCAV_146,"05,06","02,06","01,01","03,03","03,04","05,06","06,10","02,03","08,12"
MCAV_147,"05,05","07,12","11,14","03,04","03,03","05,06","27,42","04,06","05,05"
MCAV_148,"05,07","02,02","14,14","03,04","01,04","04,05","30,36","04,08","05,08"
MCAV_149*,"06,06","03,03","14,14","03,03","03,03","05,05","08,29","05,06","03,09"
MCAV_150,"05,06","05,05","02,04","03,04","03,03","05,05","25,25","02,02","05,05"
MCAV_151,"05,05","05,06","04,14","03,04","03,04","05,05","21,23","02,02","03,17"
MCAV_152*,"04,05","02,03","13,14","03,03","03,03","05,06","19,21","05,06","05,06"
MCAV_153,"05,05","06,06","01,01","03,03","03,04","03,05","17,39","07,07","07,11"
MCAV_154,"05,06","05,08","02,16","03,03","03,03","04,06","21,38","04,08","09,14"
MCAV_155,"05,05","02,02","14,15","04,04","03,03","04,05","12,30","05,11","12,15"
MCAV_156,"05,06","03,08","10,14","01,03","03,03","05,07","18,48","02,07","11,12"
MCAV_157,"01,06","03,05","02,13","03,04","03,03","02,05","06,39","05,05","03,05"
MCAV_158,"05,07","05,06","02,02","03,03","04,06","05,06","10,13","02,02","11,14"
MCAV_159,"05,06","05,05","14,14","03,03","02,03","05,05","09,19","04,09","08,09"
MCAV_160,"06,06","05,05","13,13","03,04","03,05","05,06","17,46","06,08","10,14"
MCAV_161,"05,08","03,07","14,15","03,03","02,04","05,05","17,21","03,04","11,13"
MCAV_162,"04,05","03,06","14,14","03,03","03,03","02,05","19,29","04,06","07,11"
MCAV_163*,"01,05","02,05","14,14","03,04","03,06","05,06","09,15","06,06","13,15"
MCAV_164,"04,06","03,05","14,14","03,03","02,03","03,05","19,47","05,07","11,16"
MCAV_165,"05,05","02,05","02,15","03,03","02,04","05,05","17,17","03,10","03,10"
MCAV_166,"06,06","05,05","12,18","04,04","02,03","05,05","05,09","02,05","09,11"
